"unique_id","indicator_id","name","measure","measure_info","geo_type_name","geo_join_id","geo_place_name","time_period","start_date","data_value","message","year"
172653,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",203,"Bedford Stuyvesant - Crown Heights",NA,2010-12-01,25.3,NA,"2010"
172585,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",203,"Bedford Stuyvesant - Crown Heights",NA,2008-12-01,26.93,NA,"2008"
336637,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",204,"East New York",NA,2015-01-01,19.09,NA,"2015"
336622,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",103,"Fordham - Bronx Pk",NA,2015-01-01,19.76,NA,"2015"
172582,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",104,"Pelham - Throgs Neck",NA,2008-12-01,22.83,NA,"2008"
667327,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",104,"Pelham - Throgs Neck",NA,2020-01-01,16.19,NA,"2020"
172607,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",306308,"Chelsea-Village",NA,2008-12-01,38.16,NA,"2008"
172675,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",306308,"Chelsea-Village",NA,2010-12-01,34.96,NA,"2010"
175345,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",206,"Borough Park",NA,2010-12-01,30.1,NA,"2010"
176689,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",206,"Borough Park",NA,2012-12-01,20.23,NA,"2012"
176682,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",106,"High Bridge - Morrisania",NA,2012-12-01,23.73,NA,"2012"
336507,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",106,"High Bridge - Morrisania",NA,2014-12-01,26,NA,"2014"
740910,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",106,"High Bridge - Morrisania",NA,2021-01-01,18.04,NA,"2021"
175348,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",209,"Bensonhurst - Bay Ridge",NA,2010-12-01,28.44,NA,"2010"
175894,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",209,"Bensonhurst - Bay Ridge",NA,2009-06-01,18.95,NA,"2009"
175895,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",210,"Coney Island - Sheepshead Bay",NA,2009-06-01,15.22,NA,"2009"
175349,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",210,"Coney Island - Sheepshead Bay",NA,2010-12-01,25.7,NA,"2010"
176693,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",210,"Coney Island - Sheepshead Bay",NA,2012-12-01,16.36,NA,"2012"
741006,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF42",410,"Rockaways",NA,2021-01-01,11.41,NA,"2021"
550028,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",201,"Mott Haven and Melrose (CD1)",NA,2017-01-01,21.25,NA,"2017"
336723,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",101,"Financial District (CD1)",NA,2014-12-01,30.4,NA,"2014"
741126,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",101,"Financial District (CD1)",NA,2021-01-01,21.61,NA,"2021"
165858,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",102,"Greenwich Village and Soho (CD2)",NA,2010-12-01,36.79,NA,"2010"
166625,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",102,"Greenwich Village and Soho (CD2)",NA,2009-06-01,31.63,NA,"2009"
167746,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",102,"Greenwich Village and Soho (CD2)",NA,2012-12-01,29.27,NA,"2012"
336852,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",402,"Woodside and Sunnyside (CD2)",NA,2014-12-01,26.28,NA,"2014"
741255,375,"Nitrogen dioxide (NO2)","Mean","ppb","CD",402,"Woodside and Sunnyside (CD2)",NA,2021-01-01,20.21,NA,"2021"
171599,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",203,"Bedford Stuyvesant - Crown Heights",NA,2009-12-01,28.86,NA,"2009"
549907,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",204,"East New York",NA,2017-06-01,13.39,NA,"2017"
602850,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",204,"East New York",NA,2018-06-01,11.97,NA,"2018"
171595,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",103,"Fordham - Bronx Pk",NA,2009-12-01,23.87,NA,"2009"
549895,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",104,"Pelham - Throgs Neck",NA,2017-06-01,14.14,NA,"2017"
643458,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",201,"Greenpoint",NA,2018-12-01,26.69,NA,"2018"
211654,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",101,"Kingsbridge - Riverdale",NA,2014-06-01,13.55,NA,"2014"
643446,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",101,"Kingsbridge - Riverdale",NA,2018-12-01,18.32,NA,"2018"
211655,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx",NA,2014-06-01,15.4,NA,"2014"
643449,375,"Nitrogen dioxide (NO2)","Mean","ppb","UHF34",102,"Northeast Bronx",NA,2018-12-01,19.11,NA,"2018"
